A	train5587	0000
A	train5587	0001
A	train7456	0000
A	train5587	0002
A	train0759	0001
A	train7456	0001
A	train0759	0000
A	train0759	0002
A	train5226	0000
A	train5587	0003
A	train5226	0001
A	train7992	0000
A	train7456	0002
A	train0759	0003
A	train0990	0000
A	train0148	0000
A	train5226	0002
A	train5587	0004
A	train7456	0003
A	train5226	0003
A	train7992	0001
A	train0148	0001
A	train5587	0006
A	train0990	0001
A	train7992	0002
A	train5226	0004
A	train5587	0005
A	train4747	0000
A	train7456	0004
A	train6389	0000
A	train0759	0005
A	train0990	0002
A	train0148	0002
A	train0148	0004
A	train6389	0001
A	train4241	0000
A	train5226	0005
A	train7992	0003
A	train1776	0000
A	train0759	0004
A	train6389	0002
A	train7456	0005
A	train4747	0001
A	train5927	0001
A	train0178	0000
A	train7992	0005
A	train0990	0003
A	train5927	0000
A	train0148	0003
A	train4555	0000
A	train5186	0000
A	train7992	0004
A	train5226	0006
A	train5927	0002
A	train2116	0001
A	train4241	0002
A	train7735	0000
A	train2205	0000
A	train1776	0001
A	train0578	0001
A	train2205	0001
A	train4555	0002
A	train4747	0002
A	train7735	0001
A	train7456	0006
A	train5587	0007
A	train2116	0000
A	train0990	0004
A	train5186	0001
A	train7060	0000
A	train2116	0002
A	train6139	0000
A	train0866	0000
A	train4241	0001
A	train5619	0000
A	train6389	0003
A	train0866	0001
A	train7109	0000
A	train5927	0003
A	train7735	0002
A	train2663	0000
A	train2334	0000
A	train0578	0002
A	train6389	0004
A	train4308	0000
A	train5092	0000
A	train2335	0000
A	train5226	0007
A	train1776	0002
A	train2333	0000
A	train5927	0005
A	train5619	0001
A	train2205	0002
A	train0759	0007
A	train0216	0000
A	train4827	0001
A	train0148	0005
A	train3226	0001
A	train7735	0003
A	train5257	0001
A	train4555	0001
A	train5686	0000
A	train4555	0003
A	train2116	0003
A	train2335	0001
A	train3226	0000
A	train2334	0001
A	train5186	0002
A	train4432	0001
A	train4747	0003
A	train5699	0000
A	train6742	0000
A	train5927	0004
A	train5619	0002
A	train6139	0001
A	train1885	0000
A	train4432	0002
A	train0178	0002
A	train3380	0000
A	train5587	0008
A	train7155	0000
A	train0866	0003
A	train0866	0004
A	train4827	0000
A	train0578	0000
A	train6139	0003
A	train1776	0003
A	train1885	0001
A	train7735	0004
A	train0178	0004
A	train7735	0005
A	train7992	0006
A	train6707	0000
A	train7456	0007
A	train6111	0000
A	train6898	0000
A	train0157	0000
A	train4354	0000
A	train7289	0001
A	train5257	0000
A	train3009	0001
A	train4555	0004
A	train0178	0001
A	train2033	0000
A	train4555	0005
A	train4346	0000
A	train1252	0000
A	train3411	0001
A	train5226	0008
A	train7155	0001
A	train1776	0005
A	train5186	0004
A	train6139	0002
A	train0990	0005
A	train2943	0000
A	train0068	0000
A	train7109	0001
A	train1885	0002
A	train2116	0004
A	train4432	0003
A	train1067	0000
A	train0866	0002
A	train2663	0001
